Rotation 0 deg zeroZ 4400
id x y z 
869 227.640 236.470 4399.440
870 227.660 206.420 4399.400
871 231.500 179.260 4399.510
872 227.310 146.620 4398.470
873 231.180 123.620 4398.460
874 227.490 86.430 4398.270
875 227.460 56.400 4398.830
876 227.500 26.330 4398.810
877 219.110 -3.140 4398.560
878 227.210 -33.370 4398.090
879 227.330 -63.220 4399.430
880 227.210 -93.370 4399.830
881 224.210 -126.370 4401.060
882 224.210 -149.370 4402.590
883 227.210 -183.370 4404.740
884 227.210 -213.370 4407.290
885 225.060 -243.480 4409.150
886 226.930 -273.180 4410.070
887 227.160 -303.630 4410.110
888 227.140 -332.970 4410.920
889 226.570 -363.520 4410.860
890 226.470 -392.630 4411.200
891 226.920 -423.600 4411.550
